university	career	inscription_date	first_name	gender	age	postal_code	location	email
universidad nacional de villa maría	diseño de imagen y sonido	17-Nov-19	megan ayala	female	21	8134	ARGERICH	lrivera@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias geológicas	20-Jun-20	james alvarez	male	21	8134	ARGERICH	anthony78@yahoo.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	05-Dec-19	aaron sampson	male	21	8134	ARGERICH	chapmansarah@gmail.com
universidad nacional de villa maría	licenciatura en administración	27-Jan-20	james ramos	male	21	8134	ARGERICH	jasmine74@gmail.com
universidad nacional de villa maría	medicina	11-May-20	richard graham	male	21	4600	ALGARROBAL	jacksonsarah@gmail.com
universidad nacional de villa maría	licenciatura en ciencia política	29-Jul-20	john willia	male	19	4600	ALGARROBAL	rileyalexander@hotmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	13-Jan-20	amber bates	female	21	4600	ALGARROBAL	austin52@yahoo.com
universidad nacional de villa maría	contador público	19-Apr-20	stephen thomas	male	32	4600	ALGARROBAL	dunlapalex@yahoo.com
universidad nacional de villa maría	licenciatura en artes	27-Mar-20	elijah porter	male	21	4600	ALGARROBAL	joann88@yahoo.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	12-Nov-19	jennifer padilla	female	21	4600	ALGARROBAL	kristingardner@yahoo.com
universidad nacional de villa maría	licenciatura en kinesiología y fisiatría	18-Jan-20	sherri parker	female	21	4600	ALGARROBAL	vrichard@gmail.com
universidad nacional de villa maría	medicina	02-Apr-20	thomas hopkins md	male	21	4600	ALGARROBAL	alexander87@yahoo.com
universidad nacional de villa maría	licenciatura en relaciones del trabajo	10-Oct-19	cindy moore	female	21	4600	ALGARROBAL	samuel47@yahoo.com
universidad nacional de villa maría	agronomía	02-Jul-20	sandra spencer	female	21	4600	ALGARROBAL	andrewslynn@gmail.com
universidad nacional de villa maría	licenciatura en sociología	06-Feb-20	melissa duran	female	21	4600	ALGARROBAL	emmalong@yahoo.com
universidad nacional de villa maría	agronomía	19-Jun-20	stephanie jacobson	female	21	4653	CASIRA	renee72@hotmail.com
universidad nacional de villa maría	licenciatura en terapia ocupacional	08-Jan-20	elizabeth salinas	female	21	4653	CASIRA	kwoods@gmail.com
universidad nacional de villa maría	diseño de imagen y sonido	29-Jul-20	christina leonard	female	21	4653	CASIRA	zhall@gmail.com
universidad nacional de villa maría	licenciatura en kinesiología y fisiatría	16-Jul-20	sarah lindsey	female	21	6032	BLANDENGUES	xjohnson@gmail.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	18-Oct-19	angela johnson	female	29	6032	BLANDENGUES	jonesalejandra@hotmail.com
universidad nacional de villa maría	ciencias veterinarias	12-Apr-20	anna jones	female	21	6032	BLANDENGUES	katie48@hotmail.com
universidad nacional de villa maría	licenciatura en planificación y diseño del paisaje	08-Jul-20	amanda woods	female	21	6032	BLANDENGUES	evansbrenda@yahoo.com
universidad nacional de villa maría	licenciatura en producción de bioimagenes	02-Jul-20	shane burns	male	21	6703	ALASTUEY	hortonkimberly@yahoo.com
universidad nacional de villa maría	licenciatura en ciencias de la computación	16-Oct-19	dustin frank	male	49	6703	ALASTUEY	justinhubbard@hotmail.com
