,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad de flores,licenciatura en kinesiología y fisiatría,2020-11-01,chelsea,taylor,female,100,6200,realico,michael67@gmail.com
1,universidad de flores,ingeniería en informática,2020-12-09,daniel,brown,male,83,1633,empalme,khodges@gmail.com
2,universidad de flores,licenciatura en ciencias antropológicas,2020-09-11,amy,scott,female,31,5777,adolfo rodriguez saa,dmadden@hotmail.com
3,universidad de flores,licenciatura en ciencias ambientales,2020-09-18,david,huber,male,70,4605,alisos  de abajo,wwebb@hotmail.com
4,universidad de flores,diseño de imagen y sonido,2020-09-06,steven,munoz,male,67,5381,bella vista,christopher00@yahoo.com
5,universidad de flores,licenciatura en planificación y diseño del paisaje,2020-12-22,tim,cox,male,18,5622,colonia jauregui,aliciapearson@hotmail.com
6,universidad de flores,diseño industrial,2020-12-22,joann,dominguez,female,106,3308,candelaria,elizabeth50@hotmail.com
7,universidad de flores,licenciatura en planificación y diseño del paisaje,2020-10-19,breanna,anderson,female,67,5622,colonia jauregui,rreilly@hotmail.com
8,universidad de flores,bioquímica,2020-11-20,ian,lewis,male,16,2508,armstrong,kimann@hotmail.com
9,universidad de flores,licenciatura en ciencias ambientales,2020-09-08,alexander,williams,male,14,4163,huasa pampa norte,leslie97@gmail.com
10,universidad de flores,licenciatura en planificación y diseño del paisaje,2020-11-11,emily,wilson,female,83,3328,colonia japonesa,mark19@hotmail.com
11,universidad de flores,licenciatura en ciencias biológicas,2020-12-04,laura,clay,female,19,1659,campo de mayo,kellyjordan@yahoo.com
12,universidad de flores,licenciatura en sociología,2021-01-16,brian,alexander,male,112,3706,avia terai,mpowell@gmail.com
13,universidad de flores,agronomía,2021-01-18,erik,adams,male,13,6077,encina,victor43@yahoo.com
14,universidad de flores,farmacia,2020-12-27,sara,hansen,female,64,5572,alto grande,mdavis@yahoo.com
15,universidad de flores,licenciatura en kinesiología y fisiatría,2021-01-29,frank,fields,male,114,3531,colonia aborigen,kathy78@gmail.com
16,universidad de flores,licenciatura en gestión de agroalimentos,2020-10-27,sandra,white,female,9,6476,chiclana,tara67@hotmail.com
17,universidad de flores,licenciatura en ciencias de la computación,2020-12-09,logan,melton,male,96,6405,30 de agosto,kayla62@gmail.com
18,universidad de flores,ingeniería mecánica,2020-09-11,michael,downs,male,104,3109,colonia centenario,ynelson@gmail.com
19,universidad de flores,agronomía,2020-11-07,sarah,hodge,female,96,2615,la gama,ewillis@hotmail.com
20,universidad de flores,bioquímica,2020-12-26,heather,lopez,female,33,3522,el retiro,davilalori@gmail.com
21,universidad de flores,diseño de imagen y sonido,2020-09-29,kimberly,daniels,female,28,1665,jose clemente paz,fosterjoshua@yahoo.com
22,universidad de flores,ciencias veterinarias,2020-12-26,tyler,davis,male,60,1754,san justo,thompsonrandy@yahoo.com
23,universidad de flores,licenciatura en ciencia y tecnología de alimentos,2020-10-03,anna,scott,female,116,5411,la legua,boydbrenda@yahoo.com
24,universidad de flores,ciencias veterinarias,2020-11-27,jessica,lee,female,4,8175,goyena,rhampton@gmail.com
25,universidad de flores,licenciatura en artes,2020-12-10,gregory,powers,male,116,3105,diamante,joshua53@gmail.com
26,universidad de flores,licenciatura en terapia ocupacional,2020-10-01,amber,fields,female,33,4616,barcena,cynthiabryant@yahoo.com
27,universidad de flores,licenciatura en administración,2020-09-14,bruce,johnson,male,103,8311,villa el chocon,aaronconner@gmail.com
28,universidad de flores,medicina,2020-11-23,lee,johnston,male,63,7220,funke,heather55@hotmail.com
29,universidad de flores,contador público,2020-10-09,blake,thomas,male,58,6457,ingeniero beaugey,zwhite@hotmail.com
30,universidad de flores,bioquímica,2021-01-05,justin,wolfe,male,45,3543,colonia lote 12,lorimiller@yahoo.com
31,universidad de flores,licenciatura en ciencias antropológicas,2020-09-22,lisa,wells,female,99,5435,algarrobo grande,karengreene@yahoo.com
32,universidad de flores,licenciatura en artes,2020-12-10,michael,gonzalez,male,25,6058,pazos kanki,ashelton@gmail.com
33,universidad de flores,ciencias veterinarias,2020-11-29,logan,cabrera,male,71,6628,colonia zambungo,jennifer57@hotmail.com
34,universidad de flores,licenciatura en sociología,2020-11-17,nicole,bruce,female,16,7613,calfucura,rodriguezmitchell@hotmail.com
35,universidad de flores,arquitectura,2021-01-26,michael,adams,male,76,3170,alberto gerchunoff,qjohnson@yahoo.com
36,universidad de flores,licenciatura en relaciones del trabajo,2020-09-01,robert,ramos,male,110,2826,aldea san antonio,marthacurry@hotmail.com
37,universidad de flores,ciencias veterinarias,2021-01-25,cheryl,thompson,female,79,3185,colonia la marta,joseph95@hotmail.com
38,universidad de flores,licenciatura en planificación y diseño del paisaje,2020-09-25,jose,cruz,male,109,1653,villa ballester,jefferylane@gmail.com
39,universidad de flores,licenciatura en ciencia y tecnología de alimentos,2020-10-12,jennifer,gonzales,female,11,7203,chapaleufu,georgewang@yahoo.com
40,universidad de flores,contador público,2020-12-31,andrew,miller,male,77,1842,el jaguel,mathewsrobert@gmail.com
41,universidad de flores,ingeniería en informática,2021-01-21,melinda,brown,female,76,7203,chapaleufu,johnsontonya@hotmail.com
42,universidad de flores,licenciatura en sociología,2020-12-18,andrea,garcia,female,78,6007,arribeños,walshcourtney@yahoo.com
43,universidad de flores,ingeniería en informática,2020-11-02,ariel,taylor,female,16,2701,12 de agosto,christopher77@gmail.com
44,universidad de flores,arquitectura,2020-11-21,brian,mitchell,male,34,3045,campo zavalla,ryanreed@gmail.com
45,universidad de flores,ingeniería electrónica,2020-12-04,andrea,walker,female,65,2801,alto verde,davidleonard@yahoo.com
46,universidad de flores,licenciatura en relaciones del trabajo,2020-12-03,danielle,russell,female,44,6537,el camoati,elizabethhodge@gmail.com
47,universidad de flores,licenciatura en administración,2020-12-24,kevin,miller,male,65,8117,alferez san martin,rhonda96@yahoo.com
48,universidad de flores,licenciatura en administración,2020-09-15,edgar,barrett,male,103,4640,abra pampa,jamesmontgomery@gmail.com
49,universidad de flores,licenciatura en ciencias antropológicas,2020-11-09,kathryn,gilmore,female,82,2637,colonia hansen,zyu@yahoo.com
50,universidad de flores,licenciatura en producción de bioimagenes,2020-12-19,nicole,sanders,female,11,6530,carlos casares,renee90@gmail.com
51,universidad de flores,licenciatura en ciencias ambientales,2020-12-06,allison,lopez,female,33,3048,angeloni,lrogers@yahoo.com
52,universidad de flores,licenciatura en ciencias de la computación,2020-09-02,alexis,price,female,52,2216,campo raffo,thompsonvictoria@yahoo.com
53,universidad de flores,licenciatura en ciencias de la computación,2020-10-21,dana,villarreal,female,69,4101,agua negra,brian18@gmail.com
54,universidad de flores,licenciatura en kinesiología y fisiatría,2021-01-17,michael,orozco,male,55,6321,caichue,woodjames@yahoo.com
55,universidad de flores,bioquímica,2021-01-24,melissa,rollins,female,86,1603,villa martelli,landrytina@yahoo.com
56,universidad de flores,licenciatura en musicoterapia,2021-01-30,alexandra,hancock,female,71,5444,ampacama,ashley74@gmail.com
57,universidad de flores,farmacia,2020-11-12,jennifer,torres,female,84,6315,colonia baron,ibaker@yahoo.com
58,universidad de flores,licenciatura en planificación y diseño del paisaje,2020-11-29,mitchell,brown,male,34,1808,alejandro petion,dawntaylor@yahoo.com
