,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de villa maría,licenciatura en ciencia política,2020-09-15,jonathan,harris,male,7,1768,ciudad madero,richard21@hotmail.com
1,universidad nacional de villa maría,licenciatura en planificación y diseño del paisaje,2020-09-20,jamie,harrell,female,55,1607,villa adelina,jdalton@hotmail.com
2,universidad nacional de villa maría,licenciatura en sociología,2020-12-26,roger,gregory,male,35,3308,candelaria,juanmay@hotmail.com
3,universidad nacional de villa maría,licenciatura en ciencias de la computación,2020-10-29,brittany,landry,female,14,5721,agua seballe,itorres@yahoo.com
4,universidad nacional de villa maría,bioquímica,2020-10-26,danielle,wheeler,female,61,6071,bermudez,tiffanywashington@hotmail.com
5,universidad nacional de villa maría,licenciatura en ciencias geológicas,2020-10-06,rebecca,benson,female,71,6301,ataliva roca,jmonroe@hotmail.com
6,universidad nacional de villa maría,actuario,2021-01-20,kelsey,ward,female,22,2132,aero club rosario,veronicalewis@gmail.com
7,universidad nacional de villa maría,diseño de imagen y sonido,2020-11-24,christine,mitchell,female,10,2900,san nicolas de los arroyos,malonejoseph@hotmail.com
8,universidad nacional de villa maría,licenciatura en ciencias ambientales,2020-09-16,michael,nielsen,male,4,4501,abra del trigo,fflores@gmail.com
9,universidad nacional de villa maría,licenciatura en ciencia política,2021-01-17,jessica,li,female,68,2944,rio tala,xgolden@hotmail.com
10,universidad nacional de villa maría,arquitectura,2020-10-22,todd,mendoza,male,74,3172,kilometro 208,jbaker@hotmail.com
11,universidad nacional de villa maría,diseño de imagen y sonido,2020-12-30,peggy,meyer,female,81,8336,gobernador duval,sabrina38@hotmail.com
12,universidad nacional de villa maría,licenciatura en ciencias biológicas,2020-11-26,ryan,brown,male,24,8422,aguada de piedra,caleb20@yahoo.com
13,universidad nacional de villa maría,licenciatura en planificación y diseño del paisaje,2020-09-12,joann,bennett,female,92,6387,caleufu,cnicholson@hotmail.com
14,universidad nacional de villa maría,ciencias veterinarias,2021-01-07,william,conley,male,38,4501,abra del trigo,chubbard@hotmail.com
15,universidad nacional de villa maría,arquitectura,2020-11-09,joseph,rosales,male,57,8160,fortin chaco,bpearson@hotmail.com
16,universidad nacional de villa maría,licenciatura en sociología,2020-11-05,john,munoz,male,69,8318,challaco,martinezalicia@yahoo.com
