university	career	inscription_date	first_name	gender	age	postal_code	location	email
universidad del salvador	licenciatura en administración 	17-Sep-20	james_gonzalez	male	08-Mar-42	2747	coronel isleños	josephjackson@hotmail.com
universidad del salvador	licenciatura en relaciones del trabajo 	01-Oct-20	christopher_russell	male	04-Apr-46	6535	bellocq	pattersonjeremy@gmail.com
universidad del salvador	licenciatura en ciencias ambientales	29-Sep-20	monica_farley	female	02-Oct-72	2105	cañada rica	maria48@yahoo.com
universidad del salvador	licenciatura en ciencia y tecnología de alimentos	21-Dec-20	tammy_sutton	female	18-Jun-52	6472	francisco madero	charles28@hotmail.com
universidad del salvador	licenciatura en terapia ocupacional	15-Jan-21	sydney_price	female	12-Jun-36	6346	pellegrini	singletonjoshua@yahoo.com
universidad del salvador	bioquímica	21-Nov-20	anthony_baird	male	08-Sep-70	1665	jose clemente paz	hernandezandrew@hotmail.com
universidad del salvador	licenciatura en ciencia política 	02-Nov-20	adam_clark	male	22-Sep-89	6201	chanilao	ymills@gmail.com
universidad del salvador	ingeniería electrónica	10-Dec-20	cheryl_cruz	female	18-Mar-51	1828	banfield	charlenebarker@gmail.com
universidad del salvador	licenciatura en producción de bioimagenes	28-Dec-20	regina_hutchinson	female	27-Mar-60	6616	castilla	simpsonmichelle@hotmail.com
universidad del salvador	licenciatura en ciencias antropológicas	29-Sep-20	todd_frazier	male	12-Jun-30	5582	alberto flores	amyneal@gmail.com
universidad del salvador	ingeniería en informática	13-Dec-20	mark_lewis	male	25-Jul-66	9409	isla gran malvina	zfrost@gmail.com
universidad del salvador	licenciatura en ciencias geológicas	03-Sep-20	joann_howell	female	28-Mar-58	6361	agustoni	wongcaleb@yahoo.com
universidad del salvador	licenciatura en gestión de agroalimentos	29-Nov-20	sarah_aguirre	female	02-Dec-01	7503	cristiano muerto	paul08@gmail.com
universidad del salvador	licenciatura en ciencias de la educación 	23-Sep-20	elijah_murphy	male	29-Sep-63	3280	arroyo urquiza	dmiller@hotmail.com
universidad del salvador	actuario 	18-Sep-20	jacqueline_lynch	female	05-Feb-54	2177	bigand	keith17@gmail.com
universidad del salvador	diseño industrial	06-Jan-21	devin_lewis	male	15-Jul-27	5553	empalme frontera	margaret60@gmail.com
universidad del salvador	contador público 	15-Sep-20	robert_johnson	male	01-Jun-74	6663	juan vela	brownjane@yahoo.com
universidad del salvador	contador público 	23-Jan-21	tammy_rios	female	16-Jul-44	1621	benavidez	hshort@hotmail.com
universidad del salvador	diseño de imagen y sonido	30-Oct-20	michelle_patterson	female	10-Feb-52	5611	agua rica	crosales@hotmail.com
universidad del salvador	licenciatura en planificación y diseño del paisaje	13-Sep-20	marcus_payne	male	11-Dec-15	5413	apeadero las chimbas	ericsullivan@yahoo.com
universidad del salvador	licenciatura en administración 	22-Oct-20	diane_snyder	female	03-Apr-29	5527	colonia santa teresa	xhayden@hotmail.com
universidad del salvador	licenciatura en ciencias ambientales	02-Sep-20	rachel_miller	female	17-Dec-78	8170	abra de hinojo	brian17@gmail.com
