,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de tres de febrero,ingeniería electrónica,2021-03-05,lisa,lopez,female,19,6628,colonia zambungo,fsmith@yahoo.com
1,universidad nacional de tres de febrero,ingeniería mecánica,2021-11-15,molly,gonzales,female,72,9100,cerro santa ana,jesselopez@yahoo.com
2,universidad nacional de tres de febrero,farmacia,2021-02-26,pamela,perry,female,70,5363,anguinan,victoria94@hotmail.com
3,universidad nacional de tres de febrero,ingeniería en informática,2021-09-04,katherine,estes,female,95,7639,cooper,vincentlisa@hotmail.com
4,universidad nacional de tres de febrero,licenciatura en ciencia y tecnología de alimentos,2021-03-18,joseph,harding,male,1,4434,anta,pamelayoung@yahoo.com
5,universidad nacional de tres de febrero,agronomía,2021-09-28,dustin,hart,male,29,3536,bocas,collinsleah@hotmail.com
6,universidad nacional de tres de febrero,licenciatura en psicología,2021-07-29,robert,mcgee,male,63,6216,bagual,amandagonzalez@yahoo.com
7,universidad nacional de tres de febrero,licenciatura en psicología,2021-03-30,richard,sellers,male,93,5511,general gutierrez,smithblake@yahoo.com
8,universidad nacional de tres de febrero,licenciatura en ciencias biológicas,2021-07-25,dana,ward,female,101,8181,azopardo,kdixon@hotmail.com
9,universidad nacional de tres de febrero,licenciatura en producción de bioimagenes,2021-09-26,gloria,gray,female,33,2105,cañada rica,jared91@hotmail.com
10,universidad nacional de tres de febrero,licenciatura en producción de bioimagenes,2021-01-25,gary,edwards,male,71,8319,campamento sol,baileychris@gmail.com
11,universidad nacional de tres de febrero,medicina,2021-12-10,diana,higgins,female,16,2943,ireneo portela,gonzalezgeorge@hotmail.com
12,universidad nacional de tres de febrero,bioquímica,2021-01-19,jennifer,lee,female,76,5360,chilecito,jamiewilliams@gmail.com
13,universidad nacional de tres de febrero,arquitectura,2021-02-16,kimberly,nichols,female,15,5609,aristides villanueva,nross@hotmail.com
14,universidad nacional de tres de febrero,ingeniería electrónica,2021-03-27,robert,welch,male,61,3176,estacion sola,frank52@hotmail.com
15,universidad nacional de tres de febrero,licenciatura en ciencia y tecnología de alimentos,2021-07-19,ernest,woods,male,48,5300,amilgancho,shelby95@hotmail.com
16,universidad nacional de tres de febrero,farmacia,2021-08-19,terrance,mcgrath,male,4,3569,barros pazos,nrose@gmail.com
17,universidad nacional de tres de febrero,licenciatura en planificación y diseño del paisaje,2021-06-21,jacob,sanchez,male,23,8351,agrio balsa,brendabrooks@hotmail.com
18,universidad nacional de tres de febrero,ingeniería electrónica,2021-03-07,michaela,smith,female,3,2643,cafferata,duffykevin@yahoo.com
19,universidad nacional de tres de febrero,licenciatura en artes,2021-10-04,margaret,garcia,female,54,8512,igarzabal,michelle68@gmail.com
20,universidad nacional de tres de febrero,licenciatura en administración,2021-11-28,patrick,casey,male,98,1667,manuel alberti,wrightmary@hotmail.com
21,universidad nacional de tres de febrero,diseño industrial,2021-10-10,anthony,miller,male,10,3357,barra bonita,kirbygina@gmail.com
22,universidad nacional de tres de febrero,licenciatura en ciencias biológicas,2021-01-27,erin,chaney,female,99,5327,capihuas,hcole@gmail.com
23,universidad nacional de tres de febrero,bioquímica,2021-09-11,tracy,ward,female,38,3363,25 de mayo,ochoacrystal@hotmail.com
24,universidad nacional de tres de febrero,licenciatura en ciencias biológicas,2021-05-14,tamara,delgado,female,55,6103,amenabar,harperjames@hotmail.com
25,universidad nacional de tres de febrero,ingeniería electrónica,2021-06-22,jessica,campbell,female,3,7153,cangallo,bryce58@hotmail.com
26,universidad nacional de tres de febrero,ciencias veterinarias,2021-11-22,crystal,smith,female,11,5531,barrio ferri,laura53@gmail.com
27,universidad nacional de tres de febrero,ingeniería mecánica,2021-02-19,evan,diaz,male,4,3700,barrio gral jose de san martin,jclark@hotmail.com
