university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
universidad de morón	licenciatura en artes	2020-10-28	sandra	simpson	female	85	3083	grutly	spencermurphy@hotmail.com
universidad de morón	licenciatura en administración	2021-01-24	jennifer	kidd	female	46	5471	agua blanca	alexisstokes@yahoo.com
universidad de morón	licenciatura en ciencia y tecnología de alimentos	2020-11-09	robyn	walsh	female	54	4601	corral de piedras	dawn84@hotmail.com
universidad de morón	ciencias veterinarias	2020-12-02	samantha	thompson	female	27	5509	agrelo	meganolson@hotmail.com
universidad de morón	arquitectura	2020-10-08	james	lopez	male	26	5589	chapanay	victor92@yahoo.com
universidad de morón	bioquímica	2020-12-20	benjamin	thomas	male	57	4166	balderrama	hicksriley@gmail.com
universidad de morón	licenciatura en ciencias ambientales	2020-10-08	james	wang	male	43	7167	carilo	websterdorothy@yahoo.com
universidad de morón	técnico para bioterios	2021-01-11	catherine	mcdaniel	female	95	3501	campo de galnasi	bruiz@hotmail.com
universidad de morón	licenciatura en ciencias geológicas	2021-01-28	richard	bailey	male	82	4740	agua salada	braymarcia@gmail.com
universidad de morón	bioquímica	2020-10-28	maria	patterson dds	female	49	7260	barrio villa saladillo	kari89@gmail.com
universidad de morón	licenciatura en terapia ocupacional	2020-09-20	amy	warren	female	86	3501	campo de galnasi	jessicabrown@gmail.com
universidad de morón	licenciatura en relaciones del trabajo	2020-12-08	alexander	harvey	male	83	3557	caraguatay	michael67@hotmail.com
universidad de morón	licenciatura en ciencias geológicas	2020-09-18	pedro	sparks	male	81	2347	colonia mackinlay	stephanielittle@hotmail.com
universidad de morón	licenciatura en artes	2021-01-21	ryan	riley	male	98	1842	el jaguel	kwebb@gmail.com
universidad de morón	contador público	2020-12-17	sara	glass	female	41	3244	colonia belga americana	lawrencejackson@yahoo.com
universidad de morón	licenciatura en ciencias ambientales	2020-09-07	courtney	hopkins	female	23	3486	villa olivari	theresa12@yahoo.com
universidad de morón	licenciatura en kinesiología y fisiatría	2020-09-17	lori	gill	female	62	6221	ceballos	cody67@yahoo.com
universidad de morón	licenciatura en gestión de agroalimentos	2020-12-24	christina	thompson	female	70	2500	cañada de gomez	jacksondesiree@gmail.com
universidad de morón	arquitectura	2020-10-04	brian	harris	male	99	7161	labarden	bakersuzanne@gmail.com
universidad de morón	licenciatura en planificación y diseño del paisaje	2020-10-18	mr.	brandon marquez	male	72	4413	catua	jeffreyharris@gmail.com
universidad de morón	ingeniería mecánica	2021-01-02	deborah	barrett	female	76	5605	calle larga vieja	jarvisstephanie@gmail.com
universidad de morón	farmacia	2020-09-14	jasmine	davis md	female	31	2200	las quintas	danataylor@yahoo.com
universidad de morón	ingeniería en informática	2021-01-17	andrew	george	male	73	2311	adolfo alsina	zsolomon@gmail.com
