,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de río cuarto,licenciatura en musicoterapia,2020-12-29,austin,norris,male,3,2701,12 de agosto,amycurtis@hotmail.com
1,universidad nacional de río cuarto,farmacia,2020-10-28,tyler,owens,male,89,1627,matheu,usmith@yahoo.com
2,universidad nacional de río cuarto,ingeniería mecánica,2021-01-26,donna,hess,female,80,5511,general gutierrez,angelrollins@gmail.com
3,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-10-12,john,gonzales,male,16,4107,aconquija,jamesho@yahoo.com
4,universidad nacional de río cuarto,ingeniería en informática,2021-01-15,michael,smith,male,27,8366,chelforo,laura64@yahoo.com
5,universidad nacional de río cuarto,diseño de imagen y sonido,2020-11-16,christopher,davis,male,71,2301,bella italia,christopher80@yahoo.com
6,universidad nacional de río cuarto,farmacia,2020-10-02,jacqueline,gray,female,30,8412,cañadon del corral,uodonnell@yahoo.com
7,universidad nacional de río cuarto,contador público,2020-11-24,denise,richard,female,51,2622,maggiolo,trevor97@gmail.com
8,universidad nacional de río cuarto,ingeniería electrónica,2020-09-08,brian,lee,male,62,4113,acostilla,dbrewer@yahoo.com
9,universidad nacional de río cuarto,licenciatura en administración,2020-12-12,alexander,cooke,male,65,2206,campo paletta,joseph45@hotmail.com
10,universidad nacional de río cuarto,licenciatura en ciencia política,2020-09-18,steven,blake,male,34,1854,longchamps,amandapalmer@yahoo.com
11,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-09-02,elizabeth,stewart,female,22,2848,berisso,ajohnson@gmail.com
12,universidad nacional de río cuarto,ingeniería en informática,2021-01-20,johnny,hull,male,39,3136,alcaraz norte,ehale@gmail.com
13,universidad nacional de río cuarto,licenciatura en terapia ocupacional,2020-09-17,david,pineda,male,101,9120,bahia cracher,christine82@gmail.com
14,universidad nacional de río cuarto,licenciatura en artes,2020-09-09,morgan,hale,female,18,2142,campo medina,jacobdunn@hotmail.com
15,universidad nacional de río cuarto,arquitectura,2020-12-03,brandi,norman,female,26,3334,3 de mayo,wjohnson@yahoo.com
16,universidad nacional de río cuarto,licenciatura en ciencia política,2020-12-19,rose,jenkins,female,80,3234,bonpland,mendezkathleen@yahoo.com
17,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2020-09-02,mitchell,jenkins,male,15,3448,alamo,joshuastuart@yahoo.com
18,universidad nacional de río cuarto,ciencias veterinarias,2020-09-07,leslie,walsh,female,26,3445,9 de julio,turnercory@yahoo.com
19,universidad nacional de río cuarto,ingeniería en informática,2020-09-03,jeffrey,warren,male,93,2812,capilla del señor,thomas10@hotmail.com
20,universidad nacional de río cuarto,diseño de imagen y sonido,2020-09-10,wesley,taylor,male,27,7020,benito juarez,johnhughes@gmail.com
21,universidad nacional de río cuarto,diseño de imagen y sonido,2021-01-28,lisa,conley,female,77,3567,dest aeronautico milit reconqu,brandijackson@gmail.com
22,universidad nacional de río cuarto,actuario,2021-01-01,brendan,bell,male,41,3317,arroyo magdalena,sampsonsara@hotmail.com
23,universidad nacional de río cuarto,ciencias veterinarias,2020-11-15,noah,deleon,male,5,3283,colonia mabragaña,johnsoncaleb@hotmail.com
24,universidad nacional de río cuarto,licenciatura en planificación y diseño del paisaje,2020-12-05,michele,gonzalez,female,82,9001,cañadon ferrais,zlawson@gmail.com
25,universidad nacional de río cuarto,farmacia,2020-10-04,stephanie,gordon,female,75,2919,copacabana,carolmiller@hotmail.com
26,universidad nacional de río cuarto,licenciatura en ciencia política,2020-11-21,rebecca,young,female,48,3051,alejandra,wdavis@gmail.com
27,universidad nacional de río cuarto,licenciatura en ciencias de la computación,2020-09-26,julia,perry,female,74,7605,barrio chapadmalal,christophermartin@yahoo.com
28,universidad nacional de río cuarto,ciencias veterinarias,2020-11-14,sandra,moore,female,49,1669,del viso,austinwolfe@yahoo.com
29,universidad nacional de río cuarto,ingeniería electrónica,2020-09-16,christine,horne,female,63,3545,kilometro 525,natashacasey@hotmail.com
30,universidad nacional de río cuarto,licenciatura en artes,2020-09-02,matthew,thomas,male,45,8301,planicie banderita,teresa21@gmail.com
31,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2020-12-16,tina,reid,female,49,6603,ingeniero williams,teresa52@hotmail.com
32,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-12-08,joseph,peterson,male,49,2501,berretta,wongjames@yahoo.com
33,universidad nacional de río cuarto,licenciatura en kinesiología y fisiatría,2020-12-09,cynthia,campbell,female,85,5730,20 de febrero,davisjesse@gmail.com
34,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2020-12-19,marc,allen,male,57,3734,campo moreno,mcgrathashley@yahoo.com
35,universidad nacional de río cuarto,licenciatura en musicoterapia,2020-09-12,sue,franklin,female,19,7541,d orbigny,fbyrd@yahoo.com
36,universidad nacional de río cuarto,actuario,2020-12-31,tommy,stein,male,3,1609,boulogne,lmendez@gmail.com
37,universidad nacional de río cuarto,licenciatura en gestión de agroalimentos,2020-11-13,frederick,sullivan,male,5,5715,arbol verde,melissamorgan@hotmail.com
38,universidad nacional de río cuarto,licenciatura en ciencias de la educación,2020-12-01,brian,moore,male,42,8536,chipauquil,donna26@yahoo.com
39,universidad nacional de río cuarto,licenciatura en sociología,2020-09-12,alexandra,hale,female,31,5715,arbol verde,jason45@gmail.com
40,universidad nacional de río cuarto,licenciatura en ciencias geológicas,2020-09-22,robert,mcknight,male,2,7001,la pastora,vberger@yahoo.com
41,universidad nacional de río cuarto,licenciatura en artes,2020-11-19,jennifer,moss,female,45,6013,baigorrita,drewhunter@gmail.com
42,universidad nacional de río cuarto,licenciatura en ciencias biológicas,2020-12-07,erin,rivera,female,12,3206,bella union paraje,davislori@hotmail.com
43,universidad nacional de río cuarto,licenciatura en ciencias de la educación,2021-01-17,brian,burton,male,81,6538,la dorita,rodriguezmichael@hotmail.com
44,universidad nacional de río cuarto,licenciatura en ciencias antropológicas,2020-12-24,joseph,payne,male,71,9113,florentino ameghino,hilllisa@yahoo.com
45,universidad nacional de río cuarto,actuario,2020-12-18,desiree,thomas,female,65,2138,carcaraña,edward14@hotmail.com
46,universidad nacional de río cuarto,licenciatura en ciencia y tecnología de alimentos,2020-09-09,denise,turner,female,74,6439,bonifacio,scott01@hotmail.com
