,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad j. f. kennedy,ingeniería mecánica,2021-01-19,nancy,underwood,female,46,4139,agua amarilla la hoyada,mcdonaldjulia@yahoo.com
1,universidad j. f. kennedy,actuario,2020-10-15,james,kelly,male,54,3176,estacion sola,contrerasstephen@yahoo.com
2,universidad j. f. kennedy,diseño de imagen y sonido,2021-01-22,jaime,crawford,female,46,7612,camet,martin59@yahoo.com
3,universidad j. f. kennedy,actuario,2020-10-06,matthew,ballard,male,3,7401,canteras de gregorini,jamesguerra@yahoo.com
4,universidad j. f. kennedy,arquitectura,2020-10-19,tiffany,harris,female,72,5471,agua blanca,simmonsderek@yahoo.com
5,universidad j. f. kennedy,licenciatura en producción de bioimagenes,2021-01-07,antonio,turner,male,28,4164,bajastine,burgesskathy@yahoo.com
6,universidad j. f. kennedy,licenciatura en ciencias de la educación,2020-12-27,holly,miller,female,29,3083,grutly,ggraves@yahoo.com
7,universidad j. f. kennedy,licenciatura en kinesiología y fisiatría,2020-09-08,andrew,lee,male,67,4751,agua de dionisio,haley06@hotmail.com
8,universidad j. f. kennedy,licenciatura en relaciones del trabajo,2021-01-15,melanie,parks,female,15,2506,correa,mgarza@yahoo.com
9,universidad j. f. kennedy,medicina,2020-09-14,aaron,brown,male,13,3418,bartolome mitre,richard88@yahoo.com
10,universidad j. f. kennedy,licenciatura en ciencias antropológicas,2020-09-20,terry,mooney,male,1,2801,alto verde,joshua50@hotmail.com
11,universidad j. f. kennedy,licenciatura en ciencias de la educación,2021-01-15,john,cantu,male,91,3283,colonia mabragaña,ashleylin@hotmail.com
12,universidad j. f. kennedy,licenciatura en ciencia política,2020-10-02,joseph,callahan,male,65,6220,bernardo larroude,ronaldgonzales@gmail.com
13,universidad j. f. kennedy,licenciatura en producción de bioimagenes,2020-10-31,linda,sexton,female,67,3340,boqueron,kgardner@yahoo.com
14,universidad j. f. kennedy,licenciatura en ciencias de la computación,2020-12-06,john,cantu,male,30,6660,25 de mayo,hcrawford@gmail.com
15,universidad j. f. kennedy,ingeniería electrónica,2020-12-28,deborah,green,female,25,8214,colonia cazaux,linda47@yahoo.com
