,university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
0,facultad latinoamericana de ciencias sociales,diseño de imagen y sonido,02-10-2020,philip,cortez,M,20-12-1922,,,BELLA-VISTA,ASHLEY17@GMAIL.COM
1,facultad latinoamericana de ciencias sociales,diseño de imagen y sonido,30-11-2020,timothy,olson,M,24-08-1916,,,BARKER,CONNIE29@HOTMAIL.COM
2,facultad latinoamericana de ciencias sociales,licenciatura en ciencias antropológicas,07-01-2021,adrian,wilson,M,02-06-1919,,,GRUTLY,SCHMIDTCHRISTOPHER@HOTMAIL.COM
3,facultad latinoamericana de ciencias sociales,farmacia,16-10-2020,melissa,hendrix,F,16-12-2012,,,ARROYO-DEL-MEDIO,CHELSEAWHITE@HOTMAIL.COM
4,facultad latinoamericana de ciencias sociales,ingeniería mecánica,01-12-2020,danielle,watson,F,02-09-1965,,,ACEVEDO,RUSSELLGINA@GMAIL.COM
5,facultad latinoamericana de ciencias sociales,licenciatura en ciencias de la computación,22-10-2020,george,newman,M,16-12-2013,,,ABRALAITE,LSMITH@GMAIL.COM
6,facultad latinoamericana de ciencias sociales,licenciatura en psicología,16-11-2020,kelly,barnett,F,13-12-1951,,,ALDAO,ROBERTHOLMES@HOTMAIL.COM
7,facultad latinoamericana de ciencias sociales,actuario,20-01-2021,stephanie,jordan,F,10-06-1928,,,BARRIO-INDIO-TROMPA,PERRYKIMBERLY@HOTMAIL.COM
8,facultad latinoamericana de ciencias sociales,licenciatura en ciencias geológicas,20-01-2021,jason,newton,M,18-07-1971,,,25-DE-MAYO,MARTINBRIANNA@YAHOO.COM
9,facultad latinoamericana de ciencias sociales,ciencias veterinarias,14-12-2020,mariah,thomas,F,10-06-1937,,,BOEUF,CALEXANDER@HOTMAIL.COM
10,facultad latinoamericana de ciencias sociales,diseño industrial,12-11-2020,maria,randolph,F,18-08-1974,,,ALEJANDRO-KORN,KARLDAVIS@HOTMAIL.COM
11,facultad latinoamericana de ciencias sociales,licenciatura en gestión de agroalimentos,15-12-2020,tina,thomas,F,27-02-2012,,,GRACIARENA,MFLOWERS@YAHOO.COM
12,facultad latinoamericana de ciencias sociales,arquitectura,01-10-2020,mrs.,kelli,F,01-01-1983,,,25-DE-MAYO,GOODERICA@GMAIL.COM
13,facultad latinoamericana de ciencias sociales,diseño industrial,28-11-2020,johnny,hopkins,M,16-07-1984,,,CHANCAY,JOSEMORRIS@YAHOO.COM
14,facultad latinoamericana de ciencias sociales,licenciatura en relaciones del trabajo,07-12-2020,timothy,wilson,M,08-01-1951,,,7-DE-ABRIL,GARDNERKURT@YAHOO.COM
15,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,02-10-2020,monica,skinner,F,11-05-1956,,,ALTO-CON-ZAMPA,MEYERANTHONY@HOTMAIL.COM
16,facultad latinoamericana de ciencias sociales,licenciatura en kinesiología y fisiatría,24-11-2020,colin,ortiz,M,06-09-1913,,,ARMSTRONG,JAMES58@YAHOO.COM
17,facultad latinoamericana de ciencias sociales,arquitectura,01-10-2020,yolanda,scott,F,16-04-1994,,,COLONIA-BELGRANO,SNYDERCALEB@GMAIL.COM
18,facultad latinoamericana de ciencias sociales,licenciatura en ciencia política,15-10-2020,rodney,martin,M,11-10-1972,,,ALBIGASTA,GBROWNING@YAHOO.COM
19,facultad latinoamericana de ciencias sociales,licenciatura en ciencias geológicas,12-09-2020,roger,torres,M,07-02-2019,,,AVANZADA,APRILBROCK@HOTMAIL.COM
20,facultad latinoamericana de ciencias sociales,licenciatura en artes,07-09-2020,peter,jackson,M,13-08-1923,,,SAN-JOSE-DE-PIEDRA-BLANCA,NCARSON@YAHOO.COM
21,facultad latinoamericana de ciencias sociales,licenciatura en psicología,10-01-2021,danny,davis,M,30-06-1945,,,BELLA-VISTA,ELLEN01@GMAIL.COM
22,facultad latinoamericana de ciencias sociales,técnico para bioterios,23-10-2020,dustin,lawrence,M,11-10-2020,,,ALDEA-CHALECO,XCAMPBELL@YAHOO.COM
23,facultad latinoamericana de ciencias sociales,licenciatura en kinesiología y fisiatría,29-09-2020,karen,silva,F,13-04-1982,,,ALEGRIA,ABELTRAN@HOTMAIL.COM
24,facultad latinoamericana de ciencias sociales,licenciatura en ciencias de la educación,22-11-2020,sean,reeves,M,26-03-1975,,,CARLOS-PELLEGRINI,KRIVERA@GMAIL.COM
25,facultad latinoamericana de ciencias sociales,licenciatura en terapia ocupacional,27-12-2020,jason,beltran,M,23-11-2001,,,BAÑADO-SAN-ANTONIO,SCHMIDTBLAKE@YAHOO.COM
26,facultad latinoamericana de ciencias sociales,licenciatura en kinesiología y fisiatría,05-10-2020,thomas,gonzales,M,08-05-1948,,,FAVELLI,CARLAEDWARDS@HOTMAIL.COM
27,facultad latinoamericana de ciencias sociales,ingeniería electrónica,05-10-2020,kelly,smith,F,28-04-2015,,,AYUI-PARADA,JOSEPH65@YAHOO.COM
28,facultad latinoamericana de ciencias sociales,medicina,11-12-2020,angela,king,F,02-11-2004,,,ALTO-BLANCO,JENNIFERRICHARDSON@HOTMAIL.COM
29,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,31-12-2020,jamie,johnson,F,24-02-1975,,,BOCAS,KIMBERLYEDWARDS@HOTMAIL.COM
30,facultad latinoamericana de ciencias sociales,licenciatura en relaciones del trabajo,02-12-2020,beth,rivera,F,16-04-1935,,,LA-DORITA,HLEE@HOTMAIL.COM
31,facultad latinoamericana de ciencias sociales,farmacia,18-10-2020,leah,sutton,F,25-12-2013,,,CHICLANA,SHERRYSCHULTZ@GMAIL.COM
32,facultad latinoamericana de ciencias sociales,licenciatura en gestión de agroalimentos,24-11-2020,kathryn,roberts,F,26-11-2010,,,ZONA-DELTA-SAN-FERNANDO,CALEBBURNETT@GMAIL.COM
33,facultad latinoamericana de ciencias sociales,contador público,01-09-2020,kendra,russell,F,28-10-2011,,,CAÑADA-ROSQUIN,STEPHEN57@YAHOO.COM
34,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,15-09-2020,jennifer,morrison,F,17-04-1908,,,ESTANCIA-LAS-GAMAS,EHULL@GMAIL.COM
35,facultad latinoamericana de ciencias sociales,licenciatura en musicoterapia,14-09-2020,joseph,kim,M,20-10-2016,,,DIAMANTE,VASQUEZKEITH@HOTMAIL.COM
36,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,03-09-2020,michelle,dean,F,28-02-1965,,,SAN-LORENZO,SUSAN85@YAHOO.COM
37,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,25-10-2020,melissa,wilson,F,02-04-1935,,,ALTONA,OBRIENTREVOR@YAHOO.COM
38,facultad latinoamericana de ciencias sociales,diseño industrial,13-01-2021,ariel,newman,F,03-11-1987,,,APEADERO-GUANACACHE,ALEXANDER93@GMAIL.COM
39,facultad latinoamericana de ciencias sociales,ingeniería mecánica,23-01-2021,kristina,acosta,F,25-10-1909,,,EDUARDO-COSTA,ECOFFEY@YAHOO.COM
40,facultad latinoamericana de ciencias sociales,licenciatura en relaciones del trabajo,01-02-2021,kevin,simpson,M,04-11-1975,,,AGUADA-A-PIQUE,LANCE70@HOTMAIL.COM
41,facultad latinoamericana de ciencias sociales,contador público,03-10-2020,daniel,white,M,15-01-1984,,,CAÑADON-BOTELLO,CHRISTINE06@YAHOO.COM
42,facultad latinoamericana de ciencias sociales,ingeniería en informática,04-01-2021,daniel,salazar,M,04-08-1986,,,AGUA-DE-LA-MULA,IPRUITT@GMAIL.COM
43,facultad latinoamericana de ciencias sociales,medicina,27-11-2020,joshua,bridges,M,16-07-1913,,,OTTO-BEMBERG,SMITHWILLIAM@HOTMAIL.COM
44,facultad latinoamericana de ciencias sociales,licenciatura en terapia ocupacional,23-01-2021,robert,maddox,M,11-02-1925,,,ARTURO-ALMARAZ,WILSONRYAN@YAHOO.COM
45,facultad latinoamericana de ciencias sociales,licenciatura en ciencia política,16-10-2020,edward,anderson,M,21-10-1979,,,SEY,CUMMINGSKRISTINE@GMAIL.COM
46,facultad latinoamericana de ciencias sociales,ciencias veterinarias,11-10-2020,amy,holland,F,05-04-1961,,,BUSTAMANTE,TARA47@YAHOO.COM
47,facultad latinoamericana de ciencias sociales,licenciatura en ciencias geológicas,11-11-2020,sarah,carroll,F,07-06-1970,,,ARAÑITA,JENNIFER99@GMAIL.COM
48,facultad latinoamericana de ciencias sociales,licenciatura en relaciones del trabajo,28-11-2020,samantha,roberts,F,24-08-1929,,,EL-TROPEZON,KINGJOHN@HOTMAIL.COM
49,facultad latinoamericana de ciencias sociales,ingeniería mecánica,30-11-2020,brittney,cole,F,24-10-1978,,,CAMPO-SABATE,SULLIVANCHRIS@GMAIL.COM
50,facultad latinoamericana de ciencias sociales,ciencias veterinarias,22-01-2021,robert,cline,M,15-11-1928,,,ESTACION-CHRISTOPHERSEN,STEVE62@GMAIL.COM
51,facultad latinoamericana de ciencias sociales,agronomía,26-11-2020,crystal,sims,F,10-04-1949,,,AGUARA,LEVANS@GMAIL.COM
52,facultad latinoamericana de ciencias sociales,contador público,05-01-2021,tara,villanueva,F,09-06-1989,,,ANAHI,CODYADAMS@HOTMAIL.COM
53,facultad latinoamericana de ciencias sociales,licenciatura en relaciones del trabajo,18-01-2021,michael,jenkins,M,11-02-2008,,,HUANGUELEN,JGARCIA@GMAIL.COM
