,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,facultad latinoamericana de ciencias sociales,diseño de imagen y sonido,2020-10-02,philip,cortez,male,99,1661,bella vista,ashley17@gmail.com
1,facultad latinoamericana de ciencias sociales,diseño de imagen y sonido,2020-11-30,timothy,olson,male,106,7005,barker,connie29@hotmail.com
2,facultad latinoamericana de ciencias sociales,licenciatura en ciencias antropológicas,2021-01-07,adrian,wilson,male,103,3083,grutly,schmidtchristopher@hotmail.com
3,facultad latinoamericana de ciencias sociales,farmacia,2020-10-16,melissa,hendrix,female,9,3313,arroyo del medio,chelseawhite@hotmail.com
4,facultad latinoamericana de ciencias sociales,ingeniería mecánica,2020-12-01,danielle,watson,female,57,2717,acevedo,russellgina@gmail.com
5,facultad latinoamericana de ciencias sociales,licenciatura en ciencias de la computación,2020-10-22,george,newman,male,8,4634,abralaite,lsmith@gmail.com
6,facultad latinoamericana de ciencias sociales,licenciatura en psicología,2020-11-16,kelly,barnett,female,70,2214,aldao,robertholmes@hotmail.com
7,facultad latinoamericana de ciencias sociales,actuario,2021-01-20,stephanie,jordan,female,94,6400,barrio indio trompa,perrykimberly@hotmail.com
8,facultad latinoamericana de ciencias sociales,licenciatura en ciencias geológicas,2021-01-20,jason,newton,male,51,3363,25 de mayo,martinbrianna@yahoo.com
9,facultad latinoamericana de ciencias sociales,ciencias veterinarias,2020-12-14,mariah,thomas,female,85,6380,boeuf,calexander@hotmail.com
10,facultad latinoamericana de ciencias sociales,diseño industrial,2020-11-12,maria,randolph,female,48,1864,alejandro korn,karldavis@hotmail.com
11,facultad latinoamericana de ciencias sociales,licenciatura en gestión de agroalimentos,2020-12-15,tina,thomas,female,10,6335,graciarena,mflowers@yahoo.com
12,facultad latinoamericana de ciencias sociales,arquitectura,2020-10-01,kelli,massey,female,39,3363,25 de mayo,gooderica@gmail.com
13,facultad latinoamericana de ciencias sociales,diseño industrial,2020-11-28,johnny,hopkins,male,38,6017,chancay,josemorris@yahoo.com
14,facultad latinoamericana de ciencias sociales,licenciatura en relaciones del trabajo,2020-12-07,timothy,wilson,male,71,4195,7 de abril,gardnerkurt@yahoo.com
15,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,2020-10-02,monica,skinner,female,66,5594,alto con zampa,meyeranthony@hotmail.com
16,facultad latinoamericana de ciencias sociales,licenciatura en kinesiología y fisiatría,2020-11-24,colin,ortiz,male,109,2508,armstrong,james58@yahoo.com
17,facultad latinoamericana de ciencias sociales,arquitectura,2020-10-01,yolanda,scott,female,28,2257,colonia belgrano,snydercaleb@gmail.com
18,facultad latinoamericana de ciencias sociales,licenciatura en ciencia política,2020-10-15,rodney,martin,male,50,4231,albigasta,gbrowning@yahoo.com
19,facultad latinoamericana de ciencias sociales,licenciatura en ciencias geológicas,2020-09-12,roger,torres,male,3,3540,avanzada,aprilbrock@hotmail.com
20,facultad latinoamericana de ciencias sociales,licenciatura en artes,2020-09-07,peter,jackson,male,99,4709,san jose de piedra blanca,ncarson@yahoo.com
21,facultad latinoamericana de ciencias sociales,licenciatura en psicología,2021-01-10,danny,davis,male,77,1661,bella vista,ellen01@gmail.com
22,facultad latinoamericana de ciencias sociales,técnico para bioterios,2020-10-23,dustin,lawrence,male,2,3116,aldea chaleco,xcampbell@yahoo.com
23,facultad latinoamericana de ciencias sociales,licenciatura en kinesiología y fisiatría,2020-09-29,karen,silva,female,40,4506,alegria,abeltran@hotmail.com
24,facultad latinoamericana de ciencias sociales,licenciatura en ciencias de la educación,2020-11-22,sean,reeves,male,47,2453,carlos pellegrini,krivera@gmail.com
25,facultad latinoamericana de ciencias sociales,licenciatura en terapia ocupacional,2020-12-27,jason,beltran,male,21,3454,bañado san antonio,schmidtblake@yahoo.com
26,facultad latinoamericana de ciencias sociales,licenciatura en kinesiología y fisiatría,2020-10-05,thomas,gonzales,male,74,5636,favelli,carlaedwards@hotmail.com
27,facultad latinoamericana de ciencias sociales,ingeniería electrónica,2020-10-05,kelly,smith,female,7,3204,ayui parada,joseph65@yahoo.com
28,facultad latinoamericana de ciencias sociales,medicina,2020-12-11,angela,king,female,18,5700,alto blanco,jenniferrichardson@hotmail.com
29,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,2020-12-31,jamie,johnson,female,47,3536,bocas,kimberlyedwards@hotmail.com
30,facultad latinoamericana de ciencias sociales,licenciatura en relaciones del trabajo,2020-12-02,beth,rivera,female,87,6538,la dorita,hlee@hotmail.com
31,facultad latinoamericana de ciencias sociales,farmacia,2020-10-18,leah,sutton,female,8,6476,chiclana,sherryschultz@gmail.com
32,facultad latinoamericana de ciencias sociales,licenciatura en gestión de agroalimentos,2020-11-24,kathryn,roberts,female,12,1647,zona delta san fernando,calebburnett@gmail.com
33,facultad latinoamericana de ciencias sociales,contador público,2020-09-01,kendra,russell,female,11,2454,cañada rosquin,stephen57@yahoo.com
34,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,2020-09-15,jennifer,morrison,female,114,2723,estancia las gamas,ehull@gmail.com
35,facultad latinoamericana de ciencias sociales,licenciatura en musicoterapia,2020-09-14,joseph,kim,male,6,3105,diamante,vasquezkeith@hotmail.com
36,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,2020-09-03,michelle,dean,female,57,5757,san lorenzo,susan85@yahoo.com
37,facultad latinoamericana de ciencias sociales,licenciatura en producción de bioimagenes,2020-10-25,melissa,wilson,female,87,7303,altona,obrientrevor@yahoo.com
38,facultad latinoamericana de ciencias sociales,diseño industrial,2021-01-13,ariel,newman,female,35,5431,apeadero guanacache,alexander93@gmail.com
