,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad del cine,ciencias veterinarias,2020-12-31,stacey,medina,female,63,9037,aldea beleiro,sarahpham@yahoo.com
1,universidad del cine,licenciatura en producción de bioimagenes,2020-10-29,kathryn,nichols,female,13,8142,colonia barga,christopheranderson@yahoo.com
2,universidad del cine,licenciatura en ciencias de la computación,2021-01-01,eric,kane,male,13,1754,san justo,james27@yahoo.com
3,universidad del cine,ingeniería en informática,2020-09-17,jerry,beasley,male,32,3340,boqueron,brownmichael@gmail.com
4,universidad del cine,arquitectura,2020-10-29,darrell,chapman,male,62,5611,agua rica,cthomas@hotmail.com
5,universidad del cine,licenciatura en ciencias de la educación,2020-11-13,kimberly,moore,female,45,3197,abra guazu,nhill@hotmail.com
6,universidad del cine,licenciatura en kinesiología y fisiatría,2020-12-09,chad,nelson,male,46,4434,anta,benjamin04@yahoo.com
7,universidad del cine,ciencias veterinarias,2020-12-16,jessica,marks,female,51,2252,colonia campo piaggio,jeffrey47@gmail.com
8,universidad del cine,licenciatura en ciencias antropológicas,2020-09-12,danielle,johnson,female,85,3105,diamante,nuneztracy@yahoo.com
9,universidad del cine,actuario,2020-11-26,pamela,lane,female,35,2918,empalme villa constitucion,lopezashley@yahoo.com
10,universidad del cine,licenciatura en producción de bioimagenes,2020-11-02,april,marshall,female,25,2415,desvio boero,xlynch@yahoo.com
11,universidad del cine,ciencias veterinarias,2020-09-04,kathleen,dean,female,53,1737,kilometro 77,wmorris@gmail.com
12,universidad del cine,licenciatura en musicoterapia,2020-09-14,matthew,finley,male,62,3302,aguara cua,brianparker@hotmail.com
13,universidad del cine,arquitectura,2021-01-22,angela,king,female,106,6103,amenabar,maria28@hotmail.com
14,universidad del cine,técnico para bioterios,2020-10-12,darin,long,male,11,7020,benito juarez,burnssteven@hotmail.com
15,universidad del cine,licenciatura en producción de bioimagenes,2020-09-03,matthew,anderson,male,113,5315,calera la norma,karen35@yahoo.com
16,universidad del cine,licenciatura en ciencias de la computación,2020-10-26,david,burns,male,61,2611,estacion christophersen,elizabeth62@hotmail.com
17,universidad del cine,contador público,2020-10-07,austin,hensley,male,67,3378,22 de diciembre,xdelgado@hotmail.com
18,universidad del cine,farmacia,2021-01-19,nathan,gonzales,male,16,5707,aguaditas,albertbush@hotmail.com
19,universidad del cine,licenciatura en gestión de agroalimentos,2020-12-28,charles,hernandez,male,93,8158,aparicio,wcoleman@hotmail.com
20,universidad del cine,licenciatura en ciencias de la computación,2020-09-19,christopher,nelson,male,42,5433,estacion la rinconada,stephensjennifer@hotmail.com
21,universidad del cine,diseño industrial,2021-01-22,donald,fry,male,106,3474,chavarria,youngchristina@hotmail.com
