,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad de buenos aires,actuario,2020-09-24,amy,wallace,female,1,8431,el hoyo,brookejones@yahoo.com
1,universidad de buenos aires,licenciatura en gestión de agroalimentos,2020-09-27,angela,hudson,female,17,3151,antelo,cpatterson@yahoo.com
2,universidad de buenos aires,medicina,2020-10-18,jessica,sandoval,female,77,6601,altamira,melinda04@hotmail.com
3,universidad de buenos aires,licenciatura en ciencias antropológicas,2020-09-20,david,cooper,male,93,6105,cañada seca,lukegutierrez@yahoo.com
4,universidad de buenos aires,licenciatura en kinesiología y fisiatría,2020-12-12,benjamin,nicholson,male,54,5345,baños termales,bgonzalez@hotmail.com
5,universidad de buenos aires,licenciatura en terapia ocupacional,2020-12-04,douglas,boyer,male,9,3580,kilometro 408,taylor62@yahoo.com
6,universidad de buenos aires,licenciatura en ciencias de la educación,2020-09-18,kenneth,wright,male,73,7172,colonia ferrari,butlermartha@gmail.com
7,universidad de buenos aires,técnico para bioterios,2021-01-28,heather,bradford,female,5,6422,primera junta,nicole86@yahoo.com
8,universidad de buenos aires,ingeniería electrónica,2021-01-27,mary,smith,female,33,8113,baterias,margaret65@yahoo.com
9,universidad de buenos aires,licenciatura en kinesiología y fisiatría,2020-11-04,pamela,delgado,female,34,5557,caracoles,stefanie45@hotmail.com
10,universidad de buenos aires,licenciatura en administración,2020-11-24,paul,myers,male,99,5407,dique toma,ypayne@yahoo.com
11,universidad de buenos aires,medicina,2021-01-15,amy,hurst,female,41,4129,cañada,akeller@gmail.com
12,universidad de buenos aires,medicina,2020-10-24,jessica,davis,female,12,4124,abra el candado,barbaranash@gmail.com
13,universidad de buenos aires,licenciatura en ciencias geológicas,2021-01-04,kimberly,banks,female,29,5591,alpatacal,timothyfoster@gmail.com
14,universidad de buenos aires,licenciatura en terapia ocupacional,2020-11-02,stephanie,gates,female,78,6433,arturo vatteone,carlashepherd@yahoo.com
