,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-05-21,sue,washington,female,5,7631,costa bonita balneario,benjaminmurray@hotmail.com
1,universidad nacional de jujuy,técnico para bioterios,2020-07-05,timothy,davis,male,77,3370,planchada banderita,bruceobrien@hotmail.com
2,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-04-05,mary,gonzalez,female,69,2725,hughes,qblair@hotmail.com
3,universidad nacional de jujuy,farmacia,2020-05-14,anthony,mitchell,male,27,2170,candelaria sud,tiffany87@gmail.com
4,universidad nacional de jujuy,agronomía,2019-12-10,melanie,pace,female,113,2764,campo la nena,laurenortega@gmail.com
5,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020-06-26,john,sanders,male,60,1755,rafael castillo,george58@gmail.com
6,universidad nacional de jujuy,ciencias veterinarias,2020-04-25,jeffrey,mason,male,7,9421,frigorifico cap,lorifox@yahoo.com
7,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-01-19,susan,huber,female,59,8206,colonia españa,tthomas@hotmail.com
8,universidad nacional de jujuy,técnico para bioterios,2019-12-03,phillip,johnson,male,93,2763,flamenco,alanhowell@gmail.com
9,universidad nacional de jujuy,contador público,2020-04-10,carlos,white,male,78,1757,gregorio de laferrere,santanamichael@yahoo.com
10,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-02-17,joe,castro,male,98,2631,cora,hbarron@hotmail.com
11,universidad nacional de jujuy,bioquímica,2020-06-09,susan,ruiz,female,28,2107,alvarez,andersonsean@yahoo.com
12,universidad nacional de jujuy,licenciatura en sociología,2020-01-03,crystal,mendoza,female,3,3407,aguay,catherinemata@yahoo.com
13,universidad nacional de jujuy,bioquímica,2020-01-26,john,freeman,male,102,1737,kilometro 77,thomas71@gmail.com
14,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-03-19,karen,smith,female,9,6216,bagual,katie84@gmail.com
15,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-04-14,karen,ortiz,female,58,5717,el pimpollo,cynthia97@yahoo.com
16,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-01-09,tasha,davis,female,113,5587,barcala,crystal78@gmail.com
17,universidad nacional de jujuy,licenciatura en artes,2019-11-07,amber,ryan,female,109,4650,abra de peñas,nterrell@gmail.com
18,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-06-29,brian,mason,male,108,1891,ingeniero allan,masseystacy@hotmail.com
19,universidad nacional de jujuy,licenciatura en artes,2019-10-20,lori,moyer,female,3,7153,cangallo,william94@gmail.com
20,universidad nacional de jujuy,licenciatura en artes,2020-05-05,gregory,goodman,male,9,8430,costa del rio azul,wrobertson@yahoo.com
21,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-03-12,timothy,adams,male,28,4728,chumbicha,gnorton@yahoo.com
22,universidad nacional de jujuy,licenciatura en musicoterapia,2020-02-19,jay,roberts,male,108,9040,cañadon botello,dthomas@gmail.com
23,universidad nacional de jujuy,licenciatura en ciencias de la computación,2020-05-24,kelli,ramirez,female,21,8158,aparicio,ydavis@hotmail.com
24,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-06-05,bradley,rogers,male,96,7247,barrientos,nkennedy@gmail.com
25,universidad nacional de jujuy,farmacia,2020-05-14,peter,clayton,male,98,2324,colonia tacurales,welchray@gmail.com
26,universidad nacional de jujuy,licenciatura en sociología,2020-02-18,ashley,garcia,female,1,3481,angostura,bbrooks@hotmail.com
27,universidad nacional de jujuy,farmacia,2019-10-02,gabriela,willis,female,100,9121,aguada de las tejas,robertslinda@gmail.com
