,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad de morón,licenciatura en artes,2020-10-28,sandra,simpson,female,85,3083,grutly,spencermurphy@hotmail.com
1,universidad de morón,agronomía,2020-12-29,scott,marshall,male,13,8000,adela corti,lloydkathryn@gmail.com
2,universidad de morón,licenciatura en administración,2021-01-24,jennifer,kidd,female,46,5471,agua blanca,alexisstokes@yahoo.com
3,universidad de morón,licenciatura en ciencia y tecnología de alimentos,2020-11-09,robyn,walsh,female,54,4601,corral de piedras,dawn84@hotmail.com
4,universidad de morón,licenciatura en terapia ocupacional,2020-10-20,christopher,wilson,male,14,8345,alumine,rowen@yahoo.com
5,universidad de morón,ciencias veterinarias,2020-10-08,wayne,jackson,male,110,5300,amilgancho,kristenblack@yahoo.com
6,universidad de morón,ciencias veterinarias,2020-12-02,samantha,thompson,female,27,5509,agrelo,meganolson@hotmail.com
7,universidad de morón,arquitectura,2020-10-08,james,lopez,male,26,5589,chapanay,victor92@yahoo.com
8,universidad de morón,bioquímica,2020-12-20,benjamin,thomas,male,57,4166,balderrama,hicksriley@gmail.com
9,universidad de morón,medicina,2020-09-19,karen,willis,female,16,2814,alto los cardales,carrie07@gmail.com
10,universidad de morón,licenciatura en ciencias ambientales,2020-10-08,james,wang,male,43,7167,carilo,websterdorothy@yahoo.com
11,universidad de morón,técnico para bioterios,2021-01-11,catherine,mcdaniel,female,95,3501,campo de galnasi,bruiz@hotmail.com
12,universidad de morón,licenciatura en ciencias geológicas,2021-01-28,richard,bailey,male,82,4740,agua salada,braymarcia@gmail.com
13,universidad de morón,bioquímica,2020-10-28,maria,patterson,female,49,7260,barrio villa saladillo,kari89@gmail.com
14,universidad de morón,licenciatura en terapia ocupacional,2020-09-20,amy,warren,female,86,3501,campo de galnasi,jessicabrown@gmail.com
15,universidad de morón,licenciatura en ciencias antropológicas,2020-10-22,michelle,wu,female,3,2760,colonia los tres usaris,gking@gmail.com
16,universidad de morón,licenciatura en relaciones del trabajo,2020-12-08,alexander,harvey,male,83,3557,caraguatay,michael67@hotmail.com
17,universidad de morón,licenciatura en ciencias geológicas,2020-09-18,pedro,sparks,male,81,2347,colonia mackinlay,stephanielittle@hotmail.com
18,universidad de morón,licenciatura en artes,2021-01-21,ryan,riley,male,98,1842,el jaguel,kwebb@gmail.com
19,universidad de morón,contador público,2020-12-17,sara,glass,female,41,3244,colonia belga americana,lawrencejackson@yahoo.com
20,universidad de morón,licenciatura en ciencias ambientales,2020-09-07,courtney,hopkins,female,23,3486,villa olivari,theresa12@yahoo.com
21,universidad de morón,licenciatura en kinesiología y fisiatría,2020-09-17,lori,gill,female,62,6221,ceballos,cody67@yahoo.com
22,universidad de morón,licenciatura en gestión de agroalimentos,2020-12-24,christina,thompson,female,70,2500,cañada de gomez,jacksondesiree@gmail.com
23,universidad de morón,arquitectura,2020-10-04,brian,harris,male,99,7161,labarden,bakersuzanne@gmail.com
24,universidad de morón,licenciatura en relaciones del trabajo,2020-11-16,evan,reynolds,male,102,9220,cañadon la madera,vhernandez@gmail.com
25,universidad de morón,licenciatura en planificación y diseño del paisaje,2020-10-18,brandon,marquez,male,72,4413,catua,jeffreyharris@gmail.com
26,universidad de morón,licenciatura en ciencias de la educación,2020-11-29,bonnie,thompson,female,109,5721,agua seballe,kelly30@hotmail.com
27,universidad de morón,licenciatura en psicología,2020-11-24,adam,preston,male,9,5367,cachiyuyal,jennifer53@yahoo.com
28,universidad de morón,ingeniería mecánica,2021-01-02,deborah,barrett,female,76,5605,calle larga vieja,jarvisstephanie@gmail.com
29,universidad de morón,farmacia,2020-09-14,jasmine,davis,female,31,2200,las quintas,danataylor@yahoo.com
30,universidad de morón,ingeniería electrónica,2021-01-23,cassandra,esparza,female,104,7600,barrio emir ramon juarez,maldonadodenise@hotmail.com
31,universidad de morón,ingeniería en informática,2021-01-17,andrew,george,male,73,2311,adolfo alsina,zsolomon@gmail.com
32,universidad de morón,licenciatura en planificación y diseño del paisaje,2020-09-05,patricia,nguyen,female,102,1731,villars,robert16@yahoo.com
33,universidad de morón,agronomía,2021-01-08,justin,newman,male,68,2607,campo quirno,victoria34@hotmail.com
34,universidad de morón,agronomía,2020-12-05,darren,owens,male,54,5381,bella vista,fritzbrandon@gmail.com
35,universidad de morón,licenciatura en kinesiología y fisiatría,2021-01-17,eugene,hicks,male,96,7620,balcarce,hansendavid@gmail.com
36,universidad de morón,licenciatura en planificación y diseño del paisaje,2020-09-16,oscar,morrison,male,35,5609,aristides villanueva,steven91@gmail.com
37,universidad de morón,licenciatura en artes,2020-11-16,jennifer,romero,female,100,8422,aguada de piedra,leonwesley@gmail.com
38,universidad de morón,técnico para bioterios,2021-01-05,daniel,mcgee,male,102,7172,colonia ferrari,sotojason@hotmail.com
