,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de la pampa,licenciatura en musicoterapia,2021-01-22,brett,roberts,male,22,3232,cabred,deannalarson@hotmail.com
1,universidad nacional de la pampa,licenciatura en gestión de agroalimentos,2021-01-14,mckenzie,mclaughlin,female,15,1629,almirante irizar,turnerjames@hotmail.com
2,universidad nacional de la pampa,ciencias veterinarias,2021-01-26,bryan,kane,male,12,3252,aldea san jorge,annaglass@yahoo.com
3,universidad nacional de la pampa,farmacia,2020-12-29,chad,richardson,male,45,3185,colonia la marta,jacksonmichelle@hotmail.com
4,universidad nacional de la pampa,licenciatura en sociología,2020-09-03,cassandra,odonnell,female,67,7245,campo sabate,jamesthompson@gmail.com
5,universidad nacional de la pampa,ingeniería en informática,2020-11-20,jeffrey,rivera,male,103,8206,colonia españa,kristaaustin@hotmail.com
6,universidad nacional de la pampa,ingeniería en informática,2020-10-23,ann,schmidt,female,78,2255,campo rodriguez,michael73@gmail.com
7,universidad nacional de la pampa,actuario,2020-09-28,gabrielle,johnson,female,25,3071,aguara grande,ipage@hotmail.com
8,universidad nacional de la pampa,diseño de imagen y sonido,2020-10-22,samuel,tate,male,95,2253,campo gimenez,gwoodard@gmail.com
9,universidad nacional de la pampa,contador público,2020-12-08,jamie,henderson,female,40,3220,arroyo manganga,coxtanner@yahoo.com
10,universidad nacional de la pampa,licenciatura en ciencias de la educación,2020-09-13,lisa,blair,female,27,3085,pilar,rjoyce@gmail.com
11,universidad nacional de la pampa,licenciatura en sociología,2020-11-18,steven,hill,male,10,2405,colonia cello,littleronald@gmail.com
12,universidad nacional de la pampa,licenciatura en musicoterapia,2020-10-19,michelle,beasley,female,84,3072,la lucila,leoncindy@gmail.com
13,universidad nacional de la pampa,arquitectura,2020-11-12,shaun,dunn,male,115,5759,calera argentina,ydavis@hotmail.com
14,universidad nacional de la pampa,licenciatura en ciencia política,2021-01-24,jamie,martin,female,10,6333,alfredo peña,anthony25@gmail.com
15,universidad nacional de la pampa,licenciatura en ciencias geológicas,2020-12-09,logan,clements,male,85,9410,bahia lapataia,beardpatrick@yahoo.com
16,universidad nacional de la pampa,ingeniería mecánica,2021-01-17,carol,myers,female,20,2747,coronel isleños,brownjason@yahoo.com
17,universidad nacional de la pampa,ingeniería electrónica,2020-10-27,shannon,wilson,female,99,6303,cachirulo,darlene98@gmail.com
18,universidad nacional de la pampa,licenciatura en kinesiología y fisiatría,2020-10-10,chris,bennett,male,92,3122,arroyo corralito,hlewis@yahoo.com
19,universidad nacional de la pampa,licenciatura en producción de bioimagenes,2020-11-28,ethan,lewis,male,110,3374,el porvenir,eric54@gmail.com
20,universidad nacional de la pampa,diseño industrial,2021-01-25,william,snow,male,16,5501,cerrillos al sud,ajones@hotmail.com
21,universidad nacional de la pampa,licenciatura en ciencias ambientales,2020-12-10,anna,steele,female,68,6309,alpachiri,micheal44@yahoo.com
22,universidad nacional de la pampa,licenciatura en sociología,2020-09-24,ian,flores,male,8,1822,valentin alsina,eric92@hotmail.com
23,universidad nacional de la pampa,licenciatura en ciencias biológicas,2020-10-20,stephanie,miller,female,11,1688,villa santos tesei,znunez@yahoo.com
24,universidad nacional de la pampa,agronomía,2020-12-15,lisa,booth,female,22,3540,avanzada,youngsteven@hotmail.com
25,universidad nacional de la pampa,licenciatura en ciencias antropológicas,2020-12-27,robert,wilson,male,14,1601,isla martin garcia,mhoward@gmail.com
26,universidad nacional de la pampa,ingeniería mecánica,2020-10-06,alejandra,mcbride,female,15,7105,san clemente del tuyu,lloydkara@gmail.com
