,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,_universidad_de_palermo,actuario_,11/Aug/21,gregory_wilson,,m,04/Jun/21,2846,,harrissheila@gmail.com
1,_universidad_de_palermo,contador_público_,08/Mar/21,david_hess,,m,26/Jun/90,1759,,martinezbrooke@yahoo.com
2,_universidad_de_palermo,licenciatura_en_terapia_ocupacional,26/Jun/21,david_walton,,m,20/Jun/02,5263,,millerryan@hotmail.com
3,_universidad_de_palermo,medicina,31/Aug/21,jason_bradshaw,,m,29/Sep/89,2508,,ftapia@hotmail.com
4,_universidad_de_palermo,diseño_industrial,03/Apr/21,andrew_wilson,,m,24/May/17,9407,,david63@yahoo.com
5,_universidad_de_palermo,técnico_para_bioterios_,28/Nov/21,tina_phillips,,f,06/Dec/89,8375,,katherine69@gmail.com
6,_universidad_de_palermo,licenciatura_en_ciencias_biológicas,26/Jul/21,jackson_lawson,,m,11/Nov/65,2801,,schroederjohn@yahoo.com
7,_universidad_de_palermo,medicina,01/Apr/21,wendy_pearson,,f,07/Jan/11,5304,,qcruz@hotmail.com
8,_universidad_de_palermo,agronomía,05/Sep/21,brandon_hamilton,,m,07/Aug/41,3515,,john74@gmail.com
9,_universidad_de_palermo,actuario_,15/Apr/21,lori_wright,,f,18/Sep/97,8153,,john71@yahoo.com
10,_universidad_de_palermo,ingeniería_electrónica,05/Dec/21,rickey_carter,,m,18/Oct/24,9300,,luke85@hotmail.com
11,_universidad_de_palermo,técnico_para_bioterios_,06/Nov/21,summer_pierce,,f,13/Jan/80,7150,,hnunez@hotmail.com
12,_universidad_de_palermo,licenciatura_en_gestión_de_agroalimentos,26/Jan/21,david_ramos,,m,10/Jan/95,3550,,mariah31@hotmail.com
13,_universidad_de_palermo,técnico_para_bioterios_,19/Jun/21,kimberly_holder,,f,06/Apr/70,1682,,laura13@hotmail.com
14,_universidad_de_palermo,ingeniería_electrónica,03/Apr/21,karen_dickerson,,f,25/May/78,5719,,aedwards@hotmail.com
15,_universidad_de_palermo,medicina,03/Dec/21,patricia_smith,,f,14/Jul/86,2313,,zcruz@hotmail.com
16,_universidad_de_palermo,licenciatura_en_musicoterapia,18/May/21,shannon_weaver,,f,09/Aug/75,5275,,clarkdawn@yahoo.com
17,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,26/Jul/21,tracey_morrison,,f,03/Mar/55,3234,,hhensley@hotmail.com
18,_universidad_de_palermo,licenciatura_en_ciencia_política_,14/Jan/21,kaitlyn_potter,,f,28/Jun/69,3557,,joel80@gmail.com
