,university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
0,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,21/Jan/08,Randy-williams,,M,47/May/17,,,Juan-maria-gutierrez,Joshua07@yahoo.com
1,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Oct/04,Nichole-stanley,,F,90/Feb/07,,,El-rincon,Dbutler@yahoo.com
2,-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,20/Oct/13,Christine-davis,,F,10/Apr/26,,,Agua-verde,Marvin72@yahoo.com
3,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Nov/22,Kevin-weaver,,M,60/Aug/22,,,Capitan-lazo,Millererika@hotmail.com
4,-universidad-abierta-interamericana,Licenciatura-en-psicología,21/Jan/30,David-oliver,,M,43/Feb/28,,,Llavallol,Jorge05@yahoo.com
5,-universidad-abierta-interamericana,Licenciatura-en-artes,20/Oct/12,Alyssa-callahan,,F,83/Nov/06,,,Albigasta,Jodi34@yahoo.com
6,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Nov/13,Tracy-pope,,F,42/Oct/18,,,La-viticola,Jamesgentry@hotmail.com
7,-universidad-abierta-interamericana,Bioquímica,21/Jan/26,Shawn-fleming,,M,73/Oct/03,,,Cantera-aguirre,Betty11@hotmail.com
8,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Sep/21,Brenda-santana,,F,90/May/19,,,25-de-mayo,James37@hotmail.com
9,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/21,Tyrone-roberts,,M,04/Jan/26,,,Barra-bonita,Millerrandall@gmail.com
10,-universidad-abierta-interamericana,Farmacia,20/Dec/20,Brandon-carter,,M,86/May/30,,,Alcorta,Reedaustin@yahoo.com
11,-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Nov/13,Henry-edwards,,M,48/Nov/28,,,El-sombrerito,Garyball@gmail.com
12,-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Sep/17,Donna-sparks,,F,77/Feb/06,,,Alto-del-puesto,Hrodriguez@yahoo.com
13,-universidad-abierta-interamericana,Licenciatura-en-psicología,20/Sep/12,Brandy-gibson,,F,19/Mar/18,,,Balsa,Erinjackson@yahoo.com
14,-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,21/Jan/04,Robert-price,,M,99/Mar/13,,,Cramer,Sheparddiane@hotmail.com
15,-universidad-abierta-interamericana,Ingeniería-mecánica,20/Dec/14,Johnny-williams,,M,65/Oct/19,,,Capitan-castro,Andreaboyd@yahoo.com
16,-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,20/Dec/11,Lisa-green,,F,41/Aug/03,,,El-durazno,Hudsonbrianna@gmail.com
17,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,21/Jan/24,David-chung,,M,84/Sep/29,,,Alarcon,Johnsonbrandon@hotmail.com
18,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/30,Jennifer-ramirez,,F,22/Jul/17,,,Colonia-baron,Woodangelica@hotmail.com
19,-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,20/Nov/28,Jose-white,,M,58/Feb/10,,,Planchada-banderita,Jenniferbrown@yahoo.com
20,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Dec/29,Drew-espinoza,,M,93/Jul/10,,,Britos,Jmiller@gmail.com
21,-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/01,Dale-smith,,M,33/Mar/07,,,Alumine,Michaeljohnson@gmail.com
22,-universidad-abierta-interamericana,Farmacia,20/Oct/10,Lynn-sharp,,F,20/Oct/05,,,Azul,Tamara73@hotmail.com
23,-universidad-abierta-interamericana,Licenciatura-en-administración-,20/Oct/29,Julie-vargas,,F,63/Dec/11,,,Bathurst-estacion,Iochoa@yahoo.com
24,-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,20/Sep/22,Benjamin-curry,,M,05/May/20,,,El-porvenir,Rebekah32@hotmail.com
25,-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Nov/13,Rhonda-guerrero,,F,21/Nov/28,,,Estacion-yerua,Isabelwilliams@yahoo.com
26,-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/16,Katie-williams,,F,94/Aug/18,,,El-bombero,Michaelthomas@hotmail.com
27,-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Nov/23,Jennifer-king,,F,17/Apr/04,,,Campo-calvo,Daniel32@gmail.com
28,-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Dec/28,Cynthia-riley,,F,53/Mar/23,,,Masurel,Erica19@gmail.com
