,university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
0,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,31-12-2020,STACEY-MEDINA,,F,07-04-1959,,,ALDEA-BELEIRO,SARAHPHAM@YAHOO.COM
1,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,29-10-2020,KATHRYN-NICHOLS,,F,22-12-2008,,,COLONIA-BARGA,CHRISTOPHERANDERSON@YAHOO.COM
2,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,01-01-2021,ERIC-KANE,,M,24-02-2009,,,SAN-JUSTO,JAMES27@YAHOO.COM
3,UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,17-09-2020,JERRY-BEASLEY,,M,30-05-1990,,,BOQUERON,BROWNMICHAEL@GMAIL.COM
4,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,29-10-2020,DARRELL-CHAPMAN,,M,12-07-1960,,,AGUA-RICA,CTHOMAS@HOTMAIL.COM
5,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,13-11-2020,KIMBERLY-MOORE,,F,19-04-1977,,,ABRA-GUAZU,NHILL@HOTMAIL.COM
6,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,09-12-2020,CHAD-NELSON,,M,22-02-1976,,,ANTA,BENJAMIN04@YAHOO.COM
7,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,16-12-2020,JESSICA-MARKS,,F,27-09-1971,,,COLONIA-CAMPO-PIAGGIO,JEFFREY47@GMAIL.COM
8,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,12-09-2020,DANIELLE-JOHNSON,,F,28-12-1936,,,DIAMANTE,NUNEZTRACY@YAHOO.COM
9,UNIVERSIDAD-DEL-CINE,ACTUARIO-,26-11-2020,PAMELA-LANE,,F,09-11-1987,,,EMPALME-VILLA-CONSTITUCION,LOPEZASHLEY@YAHOO.COM
10,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,02-11-2020,APRIL-MARSHALL,,F,22-10-1997,,,DESVIO-BOERO,XLYNCH@YAHOO.COM
11,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,04-09-2020,KATHLEEN-DEAN,,F,27-05-1969,,,KILOMETRO-77,WMORRIS@GMAIL.COM
12,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,14-09-2020,MATTHEW-FINLEY,,M,05-04-1960,,,AGUARA-CUA,BRIANPARKER@HOTMAIL.COM
13,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,22-01-2021,ANGELA-KING,,F,15-08-1916,,,AMENABAR,MARIA28@HOTMAIL.COM
14,UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,12-10-2020,DARIN-LONG,,M,25-05-2011,,,BENITO-JUAREZ,BURNSSTEVEN@HOTMAIL.COM
15,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,03-09-2020,MATTHEW-ANDERSON,,M,17-07-1909,,,CALERA-LA-NORMA,KAREN35@YAHOO.COM
16,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,26-10-2020,DAVID-BURNS,,M,13-07-1961,,,ESTACION-CHRISTOPHERSEN,ELIZABETH62@HOTMAIL.COM
17,UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,07-10-2020,AUSTIN-HENSLEY,,M,28-04-1955,,,22-DE-DICIEMBRE,XDELGADO@HOTMAIL.COM
18,UNIVERSIDAD-DEL-CINE,FARMACIA,19-01-2021,NATHAN-GONZALES,,M,24-04-2006,,,AGUADITAS,ALBERTBUSH@HOTMAIL.COM
19,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,28-12-2020,CHARLES-HERNANDEZ,,M,02-02-1929,,,APARICIO,WCOLEMAN@HOTMAIL.COM
20,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,19-09-2020,CHRISTOPHER-NELSON,,M,06-01-1980,,,ESTACION-LA-RINCONADA,STEPHENSJENNIFER@HOTMAIL.COM
21,UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,22-01-2021,DONALD-FRY,,M,29-08-1916,,,CHAVARRIA,YOUNGCHRISTINA@HOTMAIL.COM
22,UNIVERSIDAD-DEL-CINE,ACTUARIO-,17-10-2020,MELISSA-BROWN,,F,08-07-1948,,,EL-TALAR,JJONES@GMAIL.COM
23,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,05-10-2020,THERESA-BAKER,,F,30-07-2013,,,IRENEO-PORTELA,BDAVIS@HOTMAIL.COM
24,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,25-10-2020,STEPHANIE-MITCHELL,,F,02-11-2017,,,CAPDEPONT,WELLSJACOB@GMAIL.COM
25,UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,10-11-2020,ROSS-BEAN,,M,13-06-2013,,,COLONIA-SAN-EDUARDO,ANNA71@HOTMAIL.COM
26,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,10-12-2020,BOBBY-SMITH,,M,26-05-1961,,,AGUILARES,BRUCE09@HOTMAIL.COM
27,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,01-02-2021,JOHN-COLE,,M,17-12-1955,,,RAWSON,MMORRIS@YAHOO.COM
28,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,23-12-2020,JAMES-CUMMINGS,,M,04-08-1909,,,LLAVALLOL,XJOHNSON@YAHOO.COM
29,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,19-11-2020,WANDA-HARRISON,,F,23-11-1993,,,CARCARAÑA,ROBERTBAILEY@YAHOO.COM
30,UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,14-01-2021,AMANDA-SIMON,,F,05-02-1954,,,LOMAS-DE-ZAMORA,LARRYMACK@HOTMAIL.COM
31,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,09-10-2020,AMY-MORSE,,F,27-04-1947,,,PALANTELEN,NANCYHORTON@GMAIL.COM
32,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,14-11-2020,JILL-TRAN,,F,11-06-1942,,,ARROYO-URQUIZA,GARNERCHRISTINA@GMAIL.COM
33,UNIVERSIDAD-DEL-CINE,MEDICINA,13-10-2020,BRENDA-WRIGHT,,F,22-04-1981,,,ALIANZA,FBURTON@YAHOO.COM
34,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,11-09-2020,MELISSA-DAVIS,,F,19-07-1980,,,COLONIA-EL-SIMBOL,KSNYDER@YAHOO.COM
35,UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,04-10-2020,LORI-WILEY,,F,24-06-1928,,,VILLA-RUIZ,KYLESMITH@YAHOO.COM
36,UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,11-01-2021,BENJAMIN-NICHOLS,,M,09-02-1948,,,BALCARCE,ZAVERY@GMAIL.COM
37,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,04-09-2020,AMY-SOTO,,F,09-08-1930,,,MASUREL,BRYANTCHRISTINA@HOTMAIL.COM
38,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,11-01-2021,JENNIFER-PETERS,,F,29-02-1980,,,EL-ABANICO,HHERNANDEZ@YAHOO.COM
39,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,20-09-2020,JAMIE-WILSON,,F,16-03-1985,,,ACEILAN,MURPHYCALEB@GMAIL.COM
40,UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,29-11-2020,KEVIN-MILLER,,M,01-04-1950,,,ALTO-VERDE,SHORTMICHAEL@HOTMAIL.COM
41,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,05-09-2020,ISAAC-ARMSTRONG,,M,10-10-1998,,,AEROPUERTO-EZEIZA,STEPHANIEWARD@GMAIL.COM
42,UNIVERSIDAD-DEL-CINE,INGENIERÍA-ELECTRÓNICA,19-01-2021,REBECCA-BARNETT,,F,29-04-1991,,,COLONIA-EGIDO,KIDDALEXIS@YAHOO.COM
43,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,23-10-2020,SHELBY-MILLER,,F,24-08-1965,,,BAJO-DE-LOS-HUESOS,DBURNS@YAHOO.COM
44,UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,15-12-2020,ROBERT-JOHNSON,,M,01-09-1979,,,EL-TREBOL,STANLEY08@GMAIL.COM
45,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,22-11-2020,PHILIP-MELTON,,M,24-08-1934,,,AGUSTONI,BFOLEY@YAHOO.COM
46,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,11-11-2020,MIKE-FOWLER,,M,07-08-1938,,,ARROYO-SECO,STACYSANTOS@YAHOO.COM
47,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,04-12-2020,TAMMY-COLE,,F,18-03-1957,,,CASTELAR,KIMBENJAMIN@GMAIL.COM
