,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
0,universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-05-21,sue washington,,f,2017/03/25,,costa bonita balneario,benjaminmurray@hotmail.com
1,universidad nacional de jujuy,técnico para bioterios ,2020-07-05,timothy davis,,m,1945/10/03,,planchada banderita,bruceobrien@hotmail.com
2,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-04-05,mary gonzalez,,f,1953/07/07,,hughes,qblair@hotmail.com
3,universidad nacional de jujuy,farmacia,2020-05-14,anthony mitchell,,m,1995/07/20,,candelaria sud,tiffany87@gmail.com
4,universidad nacional de jujuy,agronomía,2019-12-10,melanie pace,,f,1909/07/13,,campo la nena,laurenortega@gmail.com
5,universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020-06-26,john sanders md,,m,1962/04/11,,rafael castillo,george58@gmail.com
6,universidad nacional de jujuy,ciencias veterinarias,2020-04-25,jeffrey mason,,m,2015/03/15,,frigorifico cap,lorifox@yahoo.com
7,universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-01-19,susan huber,,f,1963/10/27,,colonia españa,tthomas@hotmail.com
8,universidad nacional de jujuy,técnico para bioterios ,2019-12-03,phillip johnson,,m,1929/08/03,,flamenco,alanhowell@gmail.com
9,universidad nacional de jujuy,contador público ,2020-04-10,carlos white,,m,1944/05/19,,gregorio de laferrere,santanamichael@yahoo.com
10,universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-02-17,joe castro,,m,1924/07/10,,cora,hbarron@hotmail.com
11,universidad nacional de jujuy,bioquímica,2020-06-09,susan ruiz,,f,1994/07/10,,alvarez,andersonsean@yahoo.com
12,universidad nacional de jujuy,licenciatura en sociología ,2020-01-03,crystal mendoza dds,,f,2019/12/03,,aguay,catherinemata@yahoo.com
13,universidad nacional de jujuy,bioquímica,2020-01-26,john freeman,,m,1920/01/11,,kilometro 77,thomas71@gmail.com
14,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-03-19,karen smith,,f,2013/03/07,,bagual,katie84@gmail.com
15,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-04-14,karen ortiz,,f,1964/10/10,,el pimpollo,cynthia97@yahoo.com
16,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-01-09,tasha davis,,f,1909/03/18,,barcala,crystal78@gmail.com
17,universidad nacional de jujuy,licenciatura en artes,2019-11-07,amber ryan,,f,1913/09/06,,abra de peñas,nterrell@gmail.com
18,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-06-29,brian mason,,m,1914/08/29,,ingeniero allan,masseystacy@hotmail.com
19,universidad nacional de jujuy,licenciatura en artes,2019-10-20,lori moyer,,f,2019/09/18,,cangallo,william94@gmail.com
20,universidad nacional de jujuy,licenciatura en artes,2020-05-05,gregory goodman,,m,2013/09/26,,costa del rio azul,wrobertson@yahoo.com
21,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-03-12,mr. timothy adams,,m,1994/04/16,,chumbicha,gnorton@yahoo.com
22,universidad nacional de jujuy,licenciatura en musicoterapia,2020-02-19,jay roberts,,m,1914/08/10,,cañadon botello,dthomas@gmail.com
23,universidad nacional de jujuy,licenciatura en ciencias de la computación,2020-05-24,kelli ramirez,,f,2001/08/31,,aparicio,ydavis@hotmail.com
24,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-06-05,bradley rogers,,m,1926/01/01,,barrientos,nkennedy@gmail.com
25,universidad nacional de jujuy,farmacia,2020-05-14,peter clayton,,m,1924/01/27,,colonia tacurales,welchray@gmail.com
26,universidad nacional de jujuy,licenciatura en sociología ,2020-02-18,ashley garcia,,f,2021/01/25,,angostura,bbrooks@hotmail.com
27,universidad nacional de jujuy,farmacia,2019-10-02,gabriela willis,,f,1922/08/07,,aguada de las tejas,robertslinda@gmail.com
28,universidad nacional de jujuy,ingeniería mecánica,2019-11-05,anthony martin,,m,1961/02/11,,estacion coronel pringles,omartin@gmail.com
29,universidad nacional de jujuy,licenciatura en musicoterapia,2020-01-06,marie lloyd,,f,1919/01/29,,el zorro,olsongregory@yahoo.com
30,universidad nacional de jujuy,licenciatura en sociología ,2019-12-15,leah rhodes,,f,2019/07/07,,carcaraña,lanesara@yahoo.com
31,universidad nacional de jujuy,licenciatura en sociología ,2020-06-05,joanna smith,,f,1988/06/16,,agua negra,deanstephanie@hotmail.com
32,universidad nacional de jujuy,arquitectura,2020-05-13,lisa leach,,f,1968/09/26,,9 de julio,fkelly@yahoo.com
33,universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-02-11,dorothy smith,,f,2017/03/11,,general san martin,georgephillips@yahoo.com
34,universidad nacional de jujuy,farmacia,2019-12-10,vanessa jimenez,,f,2008/11/05,,alpasinche,herrerasierra@hotmail.com
35,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-01-31,lauren marquez,,f,1922/12/29,,villa ruiz,kingmargaret@yahoo.com
