,university,career,inscription_date,first_name,last_name,gender,birth_date,age,postal_code,location,email
0,Universidad de morón,Licenciatura en artes,28/10/2020,Sandra simpson,,F,20/02/1937,,3083,,Spencermurphy@hotmail.com
1,Universidad de morón,Agronomía,29/12/2020,Scott marshall,,M,19/10/2009,,8000,,Lloydkathryn@gmail.com
2,Universidad de morón,Licenciatura en administración ,24/01/2021,Jennifer kidd,,F,15/02/1976,,5471,,Alexisstokes@yahoo.com
3,Universidad de morón,Licenciatura en ciencia y tecnología de alimentos,09/11/2020,Robyn walsh,,F,11/07/1968,,4601,,Dawn84@hotmail.com
4,Universidad de morón,Licenciatura en terapia ocupacional,20/10/2020,Christopher wilson,,M,12/06/2008,,8345,,Rowen@yahoo.com
5,Universidad de morón,Ciencias veterinarias,08/10/2020,Wayne jackson,,M,26/04/1912,,5300,,Kristenblack@yahoo.com
6,Universidad de morón,Ciencias veterinarias,02/12/2020,Samantha thompson,,F,17/10/1995,,5509,,Meganolson@hotmail.com
7,Universidad de morón,Arquitectura,08/10/2020,James lopez,,M,18/03/1996,,5589,,Victor92@yahoo.com
8,Universidad de morón,Bioquímica,20/12/2020,Benjamin thomas,,M,02/05/1965,,4166,,Hicksriley@gmail.com
9,Universidad de morón,Medicina,19/09/2020,Karen willis,,F,20/01/2006,,2814,,Carrie07@gmail.com
10,Universidad de morón,Licenciatura en ciencias ambientales,08/10/2020,James wang,,M,22/03/1979,,7167,,Websterdorothy@yahoo.com
11,Universidad de morón,Técnico para bioterios ,11/01/2021,Catherine mcdaniel,,F,13/10/1927,,3501,,Bruiz@hotmail.com
12,Universidad de morón,Licenciatura en ciencias geológicas,28/01/2021,Richard bailey,,M,05/07/1940,,4740,,Braymarcia@gmail.com
13,Universidad de morón,Bioquímica,28/10/2020,Maria patterson dds,,F,09/05/1973,,7260,,Kari89@gmail.com
14,Universidad de morón,Licenciatura en terapia ocupacional,20/09/2020,Amy warren,,F,04/02/1936,,3501,,Jessicabrown@gmail.com
15,Universidad de morón,Licenciatura en ciencias antropológicas,22/10/2020,Michelle wu,,F,24/02/2019,,2760,,Gking@gmail.com
16,Universidad de morón,Licenciatura en relaciones del trabajo ,08/12/2020,Alexander harvey,,M,22/01/1939,,3557,,Michael67@hotmail.com
17,Universidad de morón,Licenciatura en ciencias geológicas,18/09/2020,Pedro sparks,,M,23/08/1941,,2347,,Stephanielittle@hotmail.com
